2017/06/24 | 10:47:03 | INFO | nyxsys is now online.
2017/06/24 | 10:47:20 | INFO | nyxsys is now offline.
2017/06/24 | 10:47:20 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:47:20 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:47:20 | INFO | nyxsys is now online.
2017/06/24 | 10:48:41 | INFO | Starting system.
2017/06/24 | 10:48:41 | INFO | Initializing system components.
2017/06/24 | 10:48:41 | INFO | Attempting to connect to the database.
2017/06/24 | 10:48:41 | INFO | System initialization completed.
2017/06/24 | 10:48:41 | INFO | Database connection success.
2017/06/24 | 10:48:42 | WARN | Issuing page refresh command to socket ID:VJjR1hs7rMpTDGaJAAAA REASON : User not found in active sessions
2017/06/24 | 10:48:46 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:48:46 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:48:46 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:48:46 | INFO | nyxsys is now online.
2017/06/24 | 10:48:54 | INFO | nyxsys is now offline.
2017/06/24 | 10:48:55 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:48:55 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:48:55 | INFO | nyxsys is now online.
2017/06/24 | 10:49:34 | INFO | Starting system.
2017/06/24 | 10:49:34 | INFO | Initializing system components.
2017/06/24 | 10:49:34 | INFO | Attempting to connect to the database.
2017/06/24 | 10:49:34 | INFO | System initialization completed.
2017/06/24 | 10:49:34 | INFO | Database connection success.
2017/06/24 | 10:49:35 | WARN | Issuing page refresh command to socket ID:VQ6ZURMguKkCxo2-AAAA REASON : User not found in active sessions
2017/06/24 | 10:49:39 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:49:39 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:49:39 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:49:39 | INFO | nyxsys is now online.
2017/06/24 | 10:49:44 | INFO | nyxsys is now offline.
2017/06/24 | 10:49:44 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:49:44 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:49:44 | INFO | nyxsys is now online.
2017/06/24 | 10:54:36 | INFO | Starting system.
2017/06/24 | 10:54:36 | INFO | Initializing system components.
2017/06/24 | 10:54:36 | INFO | Attempting to connect to the database.
2017/06/24 | 10:54:36 | INFO | System initialization completed.
2017/06/24 | 10:54:36 | INFO | Database connection success.
